PCA1,PCA2,Predicted,True
-340.05548,-1389.3346,right,right
460.27997,-399.15613,right,right
-1545.7864,-1812.1578,right,right
-148.26984,-1595.3451,right,right
-1449.8889,1447.0579,right,right
14.005561,913.0506,right,right
2616.2944,1266.4435,right,right
269.98798,-891.2404,right,right
89.42841,-1329.4215,right,right
-243.74005,1128.4001,right,right
1619.4456,168.52213,right,right
1637.6631,493.6013,right,right
265.39667,599.6795,right,right
1179.2139,-760.6524,right,right
426.90448,78.97216,right,right
721.539,673.91693,right,right
497.49042,-1144.081,right,right
-191.52032,-1500.9803,right,right
-893.2596,-626.8223,right,right
1138.2363,-151.21802,right,right
1826.812,45.822945,right,right
1216.4204,129.12202,left,right
1280.0071,1302.699,right,right
-1716.7551,1378.9089,right,right
-2483.1038,525.9604,right,right
3056.0005,209.04594,right,right
1285.0598,1448.0402,right,right
872.1679,-1066.0083,right,right
709.811,835.3904,right,right
-2142.3147,-316.3633,right,right
437.02216,-380.08237,right,right
2005.0376,380.09573,right,right
549.87054,-841.86316,right,right
728.7277,-747.7037,right,right
1610.1619,779.41486,right,right
993.34784,-1654.366,right,right
-44.186333,-1182.8049,right,right
518.7597,-1276.4816,right,right
209.01678,-241.18777,right,right
729.7753,-801.96674,right,right
-1766.4031,1756.6084,right,right
1131.7268,-1228.5356,right,right
904.97577,-1841.9026,right,right
-2053.4963,2107.7468,right,right
1502.763,188.78197,right,right
1070.1626,441.35773,right,right
586.1254,-364.48077,right,right
-1550.3635,1829.8237,right,right
-470.76007,1111.8262,right,right
-1385.3962,57.437054,right,right
-1851.3118,594.66437,right,right
-151.69122,-729.27606,right,right
-1570.3147,853.0962,right,right
779.6994,99.31192,right,right
-978.8787,1473.9061,right,right
1068.8625,-768.47156,right,right
-1323.0374,745.154,right,right
687.47845,985.7406,right,right
665.34393,-647.98206,right,right
52.79609,-1105.9789,right,right
558.8149,1456.2633,right,right
2803.8232,1298.9327,right,right
-809.659,1241.2034,right,right
6.5363226,8.4923115,right,right
-2223.7131,-1039.2054,right,right
1036.4036,474.2477,right,right
-902.18634,1253.6261,right,right
-914.9915,1651.9729,right,right
53.293648,218.05185,right,right
-605.596,1365.4471,right,right
-860.1053,-1409.381,right,right
44.673042,626.5661,right,right
-1190.3103,577.7589,right,right
1257.3135,-553.902,right,right
361.86005,280.71158,right,right
-267.48175,-404.03513,right,right
-862.5047,480.06635,right,right
1259.6553,-150.86153,right,right
640.27826,-1102.4265,right,right
-1564.0657,1397.897,right,right
-1104.4568,1027.3387,right,right
77.81025,75.105286,right,right
-1525.8313,-605.0787,right,right
-1841.2815,-569.55426,right,right
427.95087,1625.7582,right,right
1205.9243,579.37836,right,right
249.28387,1165.9456,right,right
1426.4521,-578.32367,right,right
1935.6511,968.65894,right,right
-317.60333,1174.7166,right,right
-765.9329,38.33386,right,right
-788.1409,-937.0919,right,right
197.82831,771.07947,right,right
737.3974,843.3761,right,right
2397.1445,219.35995,right,right
346.56366,-1205.0765,right,right
-224.909,-533.5134,right,right
-314.89337,-1421.8737,right,right
2477.6782,-634.1448,right,right
1668.6594,123.62498,right,right
-353.25323,-406.35098,right,right
496.21625,877.87494,right,right
130.57977,236.27785,right,right
1268.7429,709.51495,right,right
1752.9868,-1334.4176,right,right
1777.9614,80.22831,up,right
387.591,-857.46906,right,right
-13.999322,-565.153,right,right
-1902.9875,-1036.3783,right,right
861.2985,258.78653,left,right
832.5334,-1956.4554,right,right
491.36566,1282.8383,right,right
-157.86163,-1307.8291,right,right
443.61298,980.9415,right,right
-1593.7366,154.31744,right,right
-992.3255,277.81253,right,right
999.45306,85.01815,right,right
895.09467,332.6908,right,right
-1510.8689,1454.8271,left,right
668.18695,1048.94,right,right
-702.6258,1862.255,right,right
-353.8421,-1063.1536,right,right
-111.49932,42.550453,right,right
679.6359,-51.71317,right,right
-1685.0217,364.61832,right,right
1040.5474,-1215.5394,right,right
168.27899,355.8723,right,right
-553.45197,1116.8674,right,right
109.54218,-802.0424,right,right
-134.15265,-234.41422,right,right
1784.5518,-1020.53394,right,right
-15.6721735,904.6626,right,right
-147.58722,1041.4207,right,right
-456.61066,-69.06008,right,right
492.20746,1310.864,right,right
-13.942681,644.25244,right,right
1757.332,-14.945768,right,right
-261.98615,-1226.8105,right,right
1051.0076,1673.915,right,right
1958.4521,238.31717,right,right
1866.3784,-463.47723,right,right
1459.9797,62.74232,right,right
83.252144,111.28419,left,right
-441.44513,-896.26556,right,right
2839.8518,-232.78284,right,right
972.0168,101.13054,down,right
-2682.9045,766.4964,right,right
121.13642,1051.2363,right,right
-47.310844,1025.4082,right,right
-1332.3708,-566.6869,right,right
1980.7524,960.4868,right,right
1572.9094,-406.42728,right,right
-1466.9958,94.50008,go,right
-242.78448,-492.99854,right,right
186.35175,60.239933,right,right
400.99384,-1138.3242,right,right
695.50385,917.53674,right,right
-333.26398,-381.4108,right,right
-1181.4382,-608.87305,right,right
-1281.3547,1380.0211,right,right
-932.0765,-1508.6534,right,right
-1348.2278,1314.8215,right,right
-392.7835,-124.09841,right,right
-578.57697,549.73083,right,right
-746.27423,-1371.3572,right,right
405.09198,1299.5585,right,right
-616.8338,1117.087,right,right
-91.1668,-589.35,right,right
-1144.4666,1124.6704,right,right
-525.63556,-1330.7948,right,right
57.028023,-872.4996,right,right
2568.001,-323.33923,right,right
-2478.6052,-1828.0052,right,right
871.46796,579.14655,right,right
1119.0989,-982.4319,right,right
341.20135,19.071306,right,right
479.12616,142.03455,right,right
1005.3129,-1371.7657,right,right
-2397.2058,-1021.74036,right,right
-1765.1506,1218.5441,right,right
276.7199,-1210.7753,right,right
514.1774,336.38373,right,right
325.6867,2115.314,right,right
-310.82892,1259.9623,right,right
1645.398,-260.29657,right,right
212.06024,-223.82791,right,right
409.1872,312.27206,right,right
-474.6336,-888.76575,right,right
301.91718,1038.7583,right,right
-1327.1814,1088.4316,right,right
-982.01154,-686.14606,right,right
34.658394,-205.08386,right,right
-1661.0051,-1228.6765,right,right
-3156.5427,-1903.4893,right,right
-1810.8557,-103.38206,right,right
649.3935,-778.3155,right,right
969.9609,182.63806,right,right
362.69208,-699.6846,right,right
-1234.8059,267.06412,right,right
1639.1543,-489.17108,right,right
1868.9294,858.34265,right,right
242.85712,1313.4911,right,right
374.94696,1323.5482,right,right
939.7382,-33.616734,left,right
-978.9881,812.78094,right,right
1853.7239,-314.69693,right,right
-524.3538,-1069.1438,right,right
-2325.0754,-748.2061,right,right
-1397.8586,1038.2693,right,right
525.4025,63.063427,right,right
1184.8384,929.90234,right,right
-663.3216,-583.8414,right,right
-83.2542,-1967.2933,right,right
-1643.9553,-639.2956,right,right
2105.7925,-1076.9067,right,right
147.19891,485.52634,right,right
-195.54083,1331.0266,right,right
-329.43732,1456.639,right,right
498.40448,1457.4263,right,right
759.0712,-208.87183,right,right
-2920.6794,1530.889,right,right
1051.4619,-455.1126,right,right
2728.9102,-566.23315,right,right
-578.867,-176.48276,right,right
208.64618,1385.6107,right,right
1463.2278,94.65627,right,right
1019.07684,943.58655,right,right
-2284.1443,1555.469,right,right
-322.34357,470.77408,right,right
129.96405,65.95546,right,right
1221.4128,1121.9747,right,right
233.68866,67.70581,stop,right
-1632.9958,675.1353,right,right
2871.0044,-723.80914,right,right
-1610.9622,1539.5968,right,right
414.4704,909.6207,right,right
485.028,-356.09366,right,right
-650.1976,-1618.0726,right,right
-66.53643,123.5753,right,right
1493.2214,84.42652,right,right
617.22943,-606.9391,right,right
237.50653,-506.13715,right,right
1289.6404,-766.7746,right,right
-548.8338,63.131454,go,right
1411.9763,1019.96924,right,right
-1186.8674,373.37003,right,right
-1046.468,-1719.9716,right,right
15.132514,-1455.4373,right,right
653.5822,-962.1128,right,right
-400.27667,-1454.3512,right,right
-172.9881,533.27844,right,right
-699.6204,-1787.8627,right,right
951.8459,80.060234,right,right
1315.3738,-1001.313,right,right
-1375.0554,35.528973,right,right
1508.176,985.5528,right,right
-3077.799,1475.8773,right,right
873.61444,66.369484,right,right
2554.3044,589.65497,right,right
-1301.8098,632.31433,right,right
1291.3723,-839.7326,right,right
977.0336,-1048.9214,right,right
-908.78937,-1011.4929,right,right
388.4035,-196.41794,right,right
-806.0662,-694.1476,right,right
165.53339,68.65476,down,right
-294.22784,1619.72,right,right
-54.901176,-1154.59,right,right
-792.16534,1098.9026,right,right
1077.0894,-745.26575,right,right
917.84247,-906.59534,right,right
891.18915,60.47027,right,right
-2122.0354,-565.4782,right,right
620.2756,-1052.6128,right,right
-41.54766,-1478.499,right,right
-657.5164,-955.43005,right,right
-59.643852,-64.9647,right,right
-242.43,-244.91821,right,right
634.2187,-531.6156,right,right
451.98114,-1195.3933,right,right
-1465.0276,-823.0552,right,right
-1108.678,1008.705,right,right
528.75995,-569.2786,right,right
15.592963,1320.379,right,right
465.3957,60.993443,right,right
281.33514,60.709545,right,right
306.50702,-126.16364,right,right
-439.8294,-87.694984,right,right
1749.3252,1712.8573,right,right
608.9118,69.27489,right,right
666.1733,153.95715,right,right
1187.596,781.0856,right,right
-458.92072,-679.9497,right,right
1080.0278,961.9253,right,right
2829.156,-229.20218,right,right
2244.4436,-407.55835,right,right
931.143,639.1735,right,right
45.769722,-871.38934,right,right
206.08563,-295.277,right,right
1183.8518,447.9402,right,right
1083.2185,106.72998,right,right
-448.8416,818.78235,right,right
389.71893,150.52031,right,right
-819.3626,-862.78955,right,right
1228.8704,1172.7887,right,right
2529.3413,-402.38593,right,right
1764.7156,-1191.2291,right,right
-40.13311,-568.627,right,right
-483.70587,-419.58478,right,right
-2034.3044,71.77302,right,right
1343.6616,104.55695,down,right
1749.7446,-495.779,right,right
1893.3889,1173.7942,right,right
142.54901,-844.027,right,right
1431.425,1034.895,right,right
-93.080376,20.9181,right,right
750.60345,-880.8027,right,right
-178.58136,255.28157,right,right
365.01288,511.89594,right,right
1056.6621,77.09066,right,right
-660.08185,30.244501,right,right
813.2663,65.91494,go,right
-3142.8845,-1284.1882,right,right
777.8027,1181.5854,right,right
-118.95733,649.84485,right,right
-702.138,-370.38193,right,right
3064.7893,-639.1112,right,right
891.9748,319.87442,right,right
818.31,-840.0965,right,right
-1024.5334,1264.296,right,right
1048.6992,81.43239,right,right
1314.6545,50.802574,right,right
773.65546,1065.4202,right,right
1724.8398,-562.09955,right,right
839.2734,-222.68564,right,right
381.65692,-724.6769,right,right
-139.09357,2045.7432,right,right
891.54,84.498856,right,right
-1532.6926,1819.8744,right,right
712.1706,961.7787,right,right
19.148626,-1621.4668,right,right
484.57684,805.7905,right,right
-2110.4133,-66.577324,right,right
-2124.9412,-1437.7715,right,right
226.46552,-183.12799,right,right
591.3576,1060.9434,right,right
-1677.2708,-94.52732,right,right
-51.31524,-1171.6155,right,right
422.24384,815.7767,right,right
-567.8841,1581.4973,right,right
-141.40753,-134.29074,right,right
117.84052,-682.7786,right,right
-291.60626,-829.75867,right,right
-303.472,-1967.3236,right,right
-1797.0115,-574.44415,right,right
-65.20977,-1480.0851,right,right
1215.168,1013.2159,right,right
1712.8064,-469.9707,right,right
-941.1805,443.73325,stop,right
-129.65997,-1000.8939,right,right
-1601.0139,-668.861,right,right
891.0317,548.3902,right,right
-1295.846,-448.09845,right,right
149.91718,-466.74738,right,right
-8.869927,-1004.64795,right,right
-676.0457,452.04602,right,right
-192.88995,734.5945,right,right
-206.3377,-424.4391,right,right
-321.6551,-299.90515,right,right
437.1369,116.493164,right,right
1081.1074,431.52176,right,right
900.73773,70.02977,right,right
611.73895,400.92352,right,right
-2299.989,339.2795,right,right
-733.84015,-825.9363,right,right
-791.2557,-1475.4199,right,right
103.133,1445.3566,right,right
-467.9251,94.96429,right,right
751.913,-1305.9536,right,right
-361.6546,792.30347,right,right
-244.7669,-1799.6365,right,right
654.80707,85.711296,down,right
-607.0125,120.72205,right,right
-123.11602,971.26196,left,right
310.28046,140.35689,right,right
-317.09796,67.61334,go,right
-112.5877,37.45609,go,right
-296.88214,-375.03033,right,right
2037.7766,-897.1404,right,right
661.2248,-1285.5818,right,right
45.51191,-914.9319,right,right
251.1662,1253.6531,right,right
522.15594,-1703.3347,right,right
-318.29865,-661.3555,right,right
188.24481,35.388638,right,right
-995.5223,1871.3167,right,right
27.33808,668.7256,right,right
-451.63947,1170.5142,right,right
-1826.5369,-404.8995,right,right
-354.44415,921.68866,right,right
920.2155,39.18672,right,right
625.17816,-27.324697,right,right
1067.5662,-1238.4814,right,right
-767.6619,171.13893,right,right
-637.8143,-1288.1082,left,right
725.0881,-714.7121,right,right
581.35077,-1077.3392,right,right
1210.5269,-651.5191,right,right
162.96503,-1136.1376,right,right
7.042182,-981.09827,right,right
217.66473,637.5723,right,right
-379.51105,-1546.3274,right,right
-595.4046,-789.5123,right,right
1158.0417,-433.9967,right,right
-724.47784,-1268.9305,right,right
-184.159,-632.33704,right,right
-1796.2024,1502.991,right,right
-772.1634,959.58545,right,right
-439.22052,166.62105,right,right
1785.5957,92.37578,right,right
-272.5716,212.27483,right,right
-303.7459,-438.2279,right,right
-1621.4104,543.5818,left,right
-303.6253,819.83154,right,right
-74.51104,691.37616,right,right
899.15985,242.84566,right,right
1675.1011,-1360.3888,right,right
916.74994,55.023182,right,right
-360.1258,-1824.6763,right,right
1690.823,-407.39944,right,right
848.4267,-481.1192,right,right
710.6784,284.0931,right,right
-3465.3718,2028.632,right,right
1560.4558,-389.5942,right,right
-262.2791,578.4702,right,right
79.66816,-1520.0168,right,right
2934.4585,513.9934,right,right
1503.2134,119.782326,right,right
66.215034,-453.93298,right,right
1287.5344,101.927704,right,right
-72.43243,-789.9992,right,right
375.26532,-1358.3632,right,right
-655.22784,1165.1589,right,right
107.998726,-541.2612,right,right
-35.56524,2137.388,right,right
775.4245,954.91003,right,right
168.83417,-1030.0874,right,right
251.3454,-1547.9385,right,right
245.1535,1442.5283,right,right
953.5341,-947.88,right,right
-648.22833,551.3073,right,right
197.14911,664.3135,right,right
-1399.0061,-653.73694,right,right
-1094.5793,161.75047,go,right
1313.0698,-857.06586,right,right
786.7929,-951.72424,right,right
-483.4041,828.60034,right,right
-632.93146,-1096.372,right,right
-83.10821,-1091.1362,right,right
-3646.9475,1346.0354,right,right
-186.46173,-689.0526,right,right
1483.2207,-240.8732,right,right
-3451.8303,-988.1072,right,right
43.95771,2258.438,right,right
751.4333,30.306437,right,right
2526.5305,92.09787,right,right
-745.5218,-748.3736,right,right
-1639.0251,595.95703,right,right
-1200.843,1395.87,right,right
1267.0513,-483.1623,right,right
-1380.8186,-630.86206,right,right
-397.2176,-679.1015,right,right
137.23553,692.3291,right,right
-269.1507,-455.9604,right,right
1711.5818,-288.23596,right,right
-1433.4084,1045.6583,right,right
-156.21759,1935.0375,right,right
590.96893,-473.64087,right,right
576.5131,126.13305,right,right
400.13885,-523.46924,right,right
-336.94757,1715.413,right,right
677.2153,71.81498,go,right
-196.12921,535.5602,right,right
-518.9041,226.71774,right,right
577.1606,-114.46357,right,right
758.9262,1293.609,right,right
-795.45636,-804.5209,right,right
2115.5925,714.16547,right,right
-214.09113,-1375.2526,right,right
387.13934,-1675.854,right,right
1832.9343,-437.61615,right,right
-4482.6743,-27.776571,up,right
-1784.5725,-1499.8212,right,right
508.86322,-615.414,right,right
293.07782,-1013.07166,right,right
-465.64288,574.4123,right,right
2044.221,837.3445,right,right
-2509.1028,-1440.0752,right,right
319.88007,-1816.3651,right,right
-1349.8518,-336.31787,right,right
928.13544,-833.8963,right,right
-565.44025,-985.8871,right,right
897.3039,-730.3854,right,right
-761.493,-1212.9795,right,right
-890.0081,-142.75264,right,right
118.45527,-1276.0938,right,right
-1791.22,-1186.1543,right,right
1372.9363,102.48045,right,right
-272.1087,1178.7863,right,right
-1245.634,-1439.9799,right,right
1395.3833,100.22111,right,right
-438.29767,1468.4204,right,right
1826.2671,-1101.1627,right,right
524.582,1696.7725,right,right
-144.16974,-1713.8549,right,right
0.98114675,-1455.271,right,right
-1323.2502,1066.318,right,right
-692.8553,-1214.0869,right,right
1429.6716,80.68252,right,right
-1318.2751,-205.55557,right,right
385.5368,-1393.7236,right,right
-175.67023,-1142.7899,right,right
125.92548,-1291.4163,right,right
157.96747,-590.3298,right,right
896.50995,961.4293,right,right
1582.001,1408.4894,right,right
-3323.5002,-742.3805,right,right
-1055.489,1190.7123,right,right
-453.73615,233.12886,right,right
169.27362,840.02356,no,right
328.96942,-1415.3724,right,right
-148.21417,1330.1049,right,right
-1279.6326,-1295.7645,right,right
-2695.2473,-933.3552,right,right
2594.056,108.95532,right,right
187.68134,-652.699,right,right
-2088.1023,-169.21289,left,right
-574.1409,-1117.1213,right,right
302.3493,-911.5705,right,right
611.5339,-429.1624,right,right
-1311.242,74.55816,left,right
-428.60577,43.819954,stop,right
493.5385,-1046.4669,right,right
459.9914,-489.37616,right,right
80.79511,-551.8941,left,right
267.14178,64.33988,right,right
-710.80695,195.43935,right,right
233.68524,-672.4548,right,right
2388.0217,-483.94275,right,right
-2222.2156,-356.91412,left,right
497.42963,-343.87015,right,right
-1461.4968,298.03696,no,right
-815.3787,88.318344,right,right
-1184.5222,-681.0172,right,right
-233.26642,1775.5812,right,right
-1880.8889,-1552.9849,right,right
-4469.65,-13.6882,up,right
2347.1904,1040.7828,right,right
1143.9175,1488.4037,right,right
-524.7835,1176.3118,right,right
-512.04767,941.2813,right,right
-354.44415,921.68866,right,right
275.7365,-1489.3368,right,right
1934.6787,45.514973,right,right
-1411.2493,-324.68823,right,right
1096.3591,1015.3632,left,right
-1674.2444,-914.4494,right,right
-1052.6526,24.901484,up,right
290.66766,-884.50616,right,right
-400.75568,569.1753,right,right
11.672065,-1902.3756,right,right
1950.4604,97.42892,right,right
-2360.9456,-986.85474,right,right
-937.5335,273.594,right,right
-284.50323,-12.9368725,right,right
-161.37482,277.2143,right,right
-356.77472,-1084.6134,right,right
1137.6418,94.171326,right,right
435.65985,-869.6686,right,right
539.30365,70.224045,right,right
-38.864067,1381.8214,right,right
360.39032,-1789.3352,right,right
127.34736,116.12077,right,right
1215.7422,73.91232,right,right
2147.3508,45.655693,right,right
-1307.5217,-648.0437,right,right
-653.16925,1207.525,right,right
-86.12188,-819.58905,right,right
-297.67267,-1616.4993,right,right
9.71308,-301.4152,right,right
67.09931,626.3586,right,right
-1390.7053,1095.1879,right,right
-1807.9426,1628.3326,right,right
-3223.1482,5.6802545,right,right
166.49335,-783.4819,right,right
-4491.2456,-17.858,up,right
-1134.635,-143.81923,right,right
-1884.1868,4.846888,right,right
-483.6712,1973.2261,right,right
-1512.7,1144.8856,right,right
204.695,1269.419,right,right
-1133.0027,-1540.326,right,right
747.4538,-1353.8748,right,right
-545.8089,-461.341,right,right
-1285.7678,1402.6909,right,right
66.55537,-1331.7881,right,right
-1515.8406,-28.188604,up,right
1291.1389,-1056.6368,right,right
475.55536,71.42791,right,right
1688.7412,97.990555,left,right
537.89154,-348.69214,right,right
614.16815,-345.9735,right,right
54.345894,-1018.43896,right,right
249.43524,-649.8317,right,right
-926.64484,-1244.2366,right,right
460.7248,-704.0558,right,right
251.20819,1429.1392,right,right
-1997.2996,0.45664442,right,right
-418.5052,1820.3733,right,right
-2840.1882,-129.62515,right,right
1167.8838,-1976.4843,right,right
-918.46906,38.387897,right,right
-1484.9216,-1077.2672,right,right
885.1794,929.3418,right,right
-948.40753,-1229.0288,right,right
822.4362,-1358.4492,right,right
-1026.3059,-116.25442,right,right
1118.5461,85.71679,right,right
-433.08624,-26.47959,right,right
258.19598,-535.58405,right,right
158.96454,-1296.4824,right,right
-1576.7097,-316.21002,right,right
527.1828,83.29906,right,right
-1285.073,-1553.9442,right,right
-899.01935,679.88477,right,right
-1417.1833,-579.98694,right,right
-558.7044,304.275,right,right
58.109566,1340.3427,right,right
170.36884,-253.241,right,right
-1064.7429,193.01805,right,right
120.66181,64.36777,right,right
-509.3509,1281.626,right,right
1414.2632,-521.4728,right,right
1817.269,-239.80875,right,right
63.470406,-763.3162,right,right
646.93964,52.707897,left,right
-1743.1458,683.8608,right,right
-1048.3118,-1698.7488,right,right
-32.785942,-481.3687,right,right
1437.5854,98.31658,right,right
1547.7434,1297.4115,right,right
196.01776,195.5494,right,right
-13.104302,-1224.266,right,right
-1196.8674,751.4928,right,right
2087.1765,-202.18149,right,right
-2155.4382,-749.6934,right,right
-1378.8269,-271.90247,right,right
-1759.158,516.9427,right,right
1631.9658,-705.6822,right,right
1010.8315,878.3665,right,right
362.7697,74.846,right,right
628.78314,1153.3694,right,right
-2263.6257,934.82056,right,right
-729.8802,-388.28693,right,right
-750.31964,1105.694,right,right
1992.9438,72.266815,right,right
1627.8269,75.63584,right,right
730.24725,-351.0764,right,right
384.50214,594.9514,right,right
-926.14386,-1693.416,right,right
339.00653,-307.68683,right,right
119.13935,-932.8794,right,right
657.6528,279.8419,right,right
-1249.7439,-930.0797,right,right
1160.165,1120.2491,right,right
-658.1502,362.7457,right,right
2268.557,64.2037,right,right
-988.56573,-1085.2542,right,right
-2400.4827,699.0136,right,right
32.469917,-1957.1864,right,right
428.02167,-133.1523,right,right
-1596.9119,54.849808,yes,right
81.6374,-542.1295,right,right
596.1525,1139.9965,right,right
532.55634,-262.63962,right,right
-200.50372,456.5667,right,right
1.335639,-1122.166,right,right
712.6757,-83.41543,right,right
1625.4702,543.5369,left,right
-440.4793,-919.91956,right,right
1900.8606,-621.5281,right,right
1088.136,-625.15564,right,right
856.2568,-981.7667,right,right
2093.1343,-377.8065,right,right
-1331.0813,-1360.7726,right,right
-1011.58234,90.940544,right,right
165.6745,207.49242,left,right
747.24896,-192.23227,right,right
-473.6009,84.65139,right,right
-2344.115,1540.15,right,right
-199.35626,-1620.7015,left,right
2184.048,-959.7499,right,right
-1773.8381,-428.34357,right,right
336.65057,-952.01843,right,right
1106.2639,81.51389,right,right
105.39277,98.31294,up,right
-2640.2854,137.28445,up,right
1321.9653,-241.79428,right,right
-2202.014,-477.81152,right,right
-2068.8923,447.00412,right,right
374.6823,-2045.7416,right,right
-312.24982,-1711.319,right,right
-372.44318,973.081,right,right
-192.77228,1599.513,right,right
-174.02667,-975.1073,right,right
2278.1147,837.7787,right,right
784.31,1590.3226,right,right
1640.669,100.19452,right,right
875.3659,-766.46454,right,right
-236.513,-809.8141,right,right
838.71796,117.23662,right,right
-367.1629,1523.6044,right,right
-993.51935,692.0395,right,right
578.6596,523.0153,right,right
1890.8491,103.69878,stop,right
-1497.8059,-1033.9067,right,right
845.1193,107.11126,right,right
1500.012,-265.69403,down,right
219.40643,-515.7454,right,right
-651.1541,-188.85904,right,right
-1190.6765,1085.0303,right,right
-1243.176,-1914.7043,right,right
-699.4837,-1085.7639,right,right
-548.59894,-964.1891,right,right
1555.5144,-1188.858,right,right
-445.49103,-1201.1421,right,right
1018.8471,761.0074,right,right
790.68695,-1851.1572,right,right
977.45135,1184.4738,right,right
577.9843,-1301.6812,right,right
1305.9448,218.73296,right,right
475.94647,447.6833,right,right
-205.43097,786.10144,right,right
948.0839,-436.23254,right,right
334.5373,1209.4641,right,right
-1565.1448,-479.9734,right,right
-3923.7893,-24.3338,up,right
-2838.909,325.48447,left,right
-130.35187,402.60455,right,right
-551.8172,-721.5269,right,right
407.59198,693.29285,right,right
771.467,-528.1064,right,right
-1237.3904,1636.0204,right,right
-1942.074,567.72723,right,right
205.69891,-11.011122,right,right
795.2441,1160.1466,right,right
-2450.5002,1179.4066,right,right
615.1601,384.89612,right,right
130.30634,-1162.7047,right,right
429.81854,2114.5295,right,right
795.70917,-556.1292,right,right
603.6755,1251.6886,right,right
574.0202,-1585.0208,right,right
-1825.1799,1249.4126,right,right
-56.112602,2173.4817,right,right
-560.14484,1495.8239,right,right
-338.39825,86.71143,left,right
-81.38409,1331.5057,right,right
-895.45294,-886.3335,right,right
